"ID";"ParkingName";"global_id";"ParkingZoneNumber";"AdmArea";"District";"Address";"WorkingHours";"Price";"CarCapacity";"Longitude_WGS84";"Latitude_WGS84";"Coordinates";"geoData";
"3206104";"Парковка №3206 (4)";"281949990";"3206";"Центральный административный округ";"Красносельский район";"1-Й Басманный Переулок, Дом 5/20, Строение 1";"круглосуточно";"60.0";"7";"37.6636768994884";"55.7718476000377";"55.7716285,37.6635857|55.7720667,37.6637681";"{type=MultiLineString, coordinates=[[[37.66358570024417, 55.771628500008504], [37.66376809956935, 55.77206669977901]]], center=[[37.6636768999068, 55.7718475998937]]}";
"3206106";"Парковка №3206 (6)";"281949991";"3206";"Центральный административный округ";"Красносельский район";"Новая Басманная Улица, Дом 13/2, Строение 2";"круглосуточно";"60.0";"8";"37.6574689491829";"55.7700077501226";"55.7698218,37.6572973|55.7701937,37.6576406";"{type=MultiLineString, coordinates=[[[37.657297300117555, 55.769821799818054], [37.65764060028652, 55.77019369994952]]], center=[[37.657468950202, 55.7700077498838]]}";
"3206107";"Парковка №3206 (7)";"281949992";"3206";"Центральный административный округ";"Красносельский район";"Новая Басманная Улица, Дом 13/2, Строение 3";"круглосуточно";"60.0";"5";"37.657878599568";"55.770465600059";"55.7703234,37.6577599|55.7706078,37.6579973";"{type=MultiLineString, coordinates=[[[37.657759900149514, 55.77032339982534], [37.65799729972629, 55.770607799977206]]], center=[[37.6578785999379, 55.7704655999013]]}";
"3206108";"Парковка №3206 (8)";"281949993";"3206";"Центральный административный округ";"Красносельский район";"Басманный Переулок, Дом 9";"круглосуточно";"60.0";"2";"37.6596736499406";"55.7712362000282";"55.7712083,37.6595905|55.7712641,37.6597568";"{type=MultiLineString, coordinates=[[[37.659590499611895, 55.77120830021477], [37.65975680022886, 55.77126410010088]]], center=[[37.6596736499204, 55.7712362001578]]}";
"3206109";"Парковка №3206 (9)";"281949994";"3206";"Центральный административный округ";"Красносельский район";"Басманный Переулок, Дом 9";"круглосуточно";"60.0";"2";"37.6602096999543";"55.7714204000187";"55.7713916,37.6601324|55.7714142,37.6601994|55.7714554,37.6602973";"{type=MultiLineString, coordinates=[[[37.660132400222196, 55.771391599880545], [37.660199400169375, 55.77141419987723], [37.660297300365656, 55.77145539989114]]], center=[[37.6602148502939, 55.7714234998858]]}";
"3206110";"Парковка №3206 (10)";"281949995";"3206";"Центральный административный округ";"Красносельский район";"Басманный Переулок, Дом 8, Строение 1";"круглосуточно";"60.0";"5";"37.6605722496608";"55.771537450048";"55.7714139,37.660465|55.771661,37.6606795";"{type=MultiLineString, coordinates=[[[37.66046499965953, 55.7714139002351], [37.6606795002814, 55.77166100012408]]], center=[[37.6605722499704, 55.7715374501796]]}";
"3206111";"Парковка №3206 (11)";"281949996";"3206";"Центральный административный округ";"Красносельский район";"Басманный Переулок, Дом 9";"круглосуточно";"60.0";"9";"37.6609524486309";"55.7721614001888";"55.7719098,37.6607399|55.772413,37.661165";"{type=MultiLineString, coordinates=[[[37.66073990030613, 55.7719097997658], [37.66116500016656, 55.77241299992576]]], center=[[37.6609524502363, 55.7721613998458]]}";
"3207130";"Парковка №3207 (30)";"281949997";"3207";"Центральный административный округ";"Басманный район";"Старая Басманная Улица, Дом 11/2, Строение 1";"круглосуточно";"60.0";"6";"37.6585209504875";"55.76519855007";"55.7650514,37.6586504|55.7653457,37.6583915";"{type=MultiLineString, coordinates=[[[37.65865040009065, 55.76505139989247], [37.658391500235886, 55.765345699936404]]], center=[[37.6585209501633, 55.7651985499144]]}";
"3207131";"Парковка №3207 (31)";"281949998";"3207";"Центральный административный округ";"Басманный район";"Старая Басманная Улица, Дом 11/2, Строение 1";"круглосуточно";"60.0";"13";"37.6584888521977";"55.7653946503258";"55.7657017,37.6582092|55.7650876,37.6587685";"{type=MultiLineString, coordinates=[[[37.658209199725384, 55.76570169977866], [37.658768499804424, 55.76508759982486]]], center=[[37.6584888497649, 55.7653946498018]]}";
"3207132";"Парковка №3207 (32)";"281949999";"3207";"Центральный административный округ";"Басманный район";"Басманный Тупик, Дом 6А, Строение 1";"круглосуточно";"60.0";"2";"37.6573441500563";"55.7670157000068";"55.766961,37.6573844|55.7670704,37.6573039";"{type=MultiLineString, coordinates=[[[37.65738439986916, 55.766961000132504], [37.65730390003993, 55.76707040004572]]], center=[[37.6573441499546, 55.7670157000891]]}";
"3207133";"Парковка №3207 (33)";"281950000";"3207";"Центральный административный округ";"Басманный район";"Новая Басманная Улица, Дом 10, Строение 1";"круглосуточно";"60.0";"6";"37.6558381004723";"55.768939450055";"55.7691013,37.6557241|55.7687776,37.6559521";"{type=MultiLineString, coordinates=[[[37.65572410032339, 55.76910130023586], [37.65595209992903, 55.768777599986]]], center=[[37.6558381001262, 55.7689394501109]]}";
"3206112";"Парковка №3206 (12)";"281950001";"3206";"Центральный административный округ";"Красносельский район";"Большая Спасская Улица, Дом 9, Строение 5";"круглосуточно";"60.0";"2";"37.6386008999536";"55.772313350006";"55.7722651,37.6385633|55.7723616,37.6386385";"{type=MultiLineString, coordinates=[[[37.63856329958323, 55.77226509997582], [37.638638500250615, 55.7723616002029]]], center=[[37.6386008999169, 55.7723133500893]]}";
"3206113";"Парковка №3206 (13)";"281950002";"3206";"Центральный административный округ";"Красносельский район";"Большая Спасская Улица, Дом 9, Строение 5";"круглосуточно";"60.0";"10";"37.6390233989067";"55.7729319001214";"55.7726792,37.6388544|55.7731846,37.6391924";"{type=MultiLineString, coordinates=[[[37.638854400447684, 55.77267920023127], [37.63919239965818, 55.77318460002962]]], center=[[37.6390234000529, 55.7729319001304]]}";
"3206114";"Парковка №3206 (14)";"281950003";"3206";"Центральный административный округ";"Красносельский район";"Большая Спасская Улица, Дом 4, Строение 1";"круглосуточно";"60.0";"12";"37.6403001311103";"55.7742427004026";"55.7739691,37.6400158|55.7741336,37.6401499|55.7746254,37.6407347";"{type=MultiLineString, coordinates=[[[37.64001579993916, 55.77396909995504], [37.6401499004448, 55.77413359993692], [37.64073470010148, 55.77462540007418]]], center=[[37.6403752500203, 55.7742972500146]]}";
"3206115";"Парковка №3206 (15)";"281950004";"3206";"Центральный административный округ";"Красносельский район";"Большая Спасская Улица, Дом 15, Строение 1";"круглосуточно";"60.0";"10";"37.6401422981645";"55.7743391003431";"55.7741261,37.6399058|55.7742031,37.6399729|55.7746881,37.6405482";"{type=MultiLineString, coordinates=[[[37.63990580033431, 55.77412609980539], [37.63997289999447, 55.7742030998742], [37.64054819996702, 55.774688099901454]]], center=[[37.6402270001507, 55.7744070998534]]}";
